Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 13A # 109-97,Santa Paula,4.6921663096936,-74.0421873876911,No VIS,20,Usaquén,31782,Alturia 109
Cl. 98 # 19A-21,Chicó,4.68485862723529,-74.0535179222378,No VIS,1,Chapinero,31783,Artek 98 +
Cl. 92 # 14-11,Chicó,4.67524696267572,-74.0518983644319,No VIS,4,Chapinero,31789,Novo 92 +
Cr. 7A # 122-09,Santa Bárbara,4.69863000923285,-74.0312221451315,No VIS,3,Usaquén,31790,Maralta
Dg. 76 # 1-45,Rosales,4.65521082068137,-74.05005931796,No VIS,1,Chapinero,31791,Solhe
Cl. 114A # 15-63,Santa Bárbara,4.69548220300296,-74.0439665146271,No VIS,9,Usaquén,31795,Urban - Atenea +
Cr. 15 # 127A-26,La Carolina,4.70706825478872,-74.0422971875623,No VIS,4,Usaquén,31797,Nou La Carolina
Cl. 134 # 19A-46,Nueva Autopista,4.71869803003999,-74.0485490677041,No VIS,8,Usaquén,31799,KD Essential
Cl. 92 # 16-30,Chicó,4.67686749733944,-74.0535256616056,No VIS,2,Chapinero,31803,Liquidambar
Cr. 11B # 98-36,Chicó,4.68188074905754,-74.0452198059159,No VIS,8,Chapinero,31826,Area 98 +
Cr. 18A # 134A-17,Contador,4.71914765224096,-74.0462937830277,No VIS,3,Usaquén,31827,Salvatore Apartamentos
Av. Cl. 145 # 119A-58,Córdoba,4.70729473308175,-74.0703800977272,No VIS,187,Suba,31831,Provenza Prestige
Cl. 92 # 7A-04,Chicó,4.67200912551242,-74.0443095687768,No VIS,10,Chapinero,31833,Quintessence Museo +
Cl. 105A # 14-76,Santa Paula,4.68956084898385,-74.04571774018,No VIS,2,Usaquén,31835,Zarkis
Cl. 96 # 19A-80,Chicó,4.68382877049892,-74.0544205734535,No VIS,42,Chapinero,31841,Terrasse City Club
Cr. 23 # 137-04,Nueva Autopista,4.72158542551053,-74.0506488325776,No VIS,2,Usaquén,31842,Bella Terra
Cr. 50 # 106-69,Pasadena,4.69585446674045,-74.0607088148302,No VIS,23,Suba,31843,Pasadena 106 +
Cl. 135B # 12B-18,Nuevo Country,4.71753108448591,-74.0401948835765,No VIS,1,Usaquén,31844,Antique
Cl. 95 # 21-80,Chicó,4.68327524959813,-74.0559958369792,No VIS,10,Chapinero,31846,Urban K
Av. Cr. 9 # 104-43,Santa Paula,4.68781858594612,-74.0438305580481,No VIS,17,Usaquén,31847,Davidia 104
